,Name,Link,Breed,Location
1792,Precious,http://post.rescueme.org/20-02-20-00365,Pit Bull,"Riverside County, Downey , CA"
1793,Nino,http://post.rescueme.org/20-02-20-00360,Pit Bull,"Riverside County, Downey , CA"
1794,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00333,Lab,"Riverside County, Moreno Valley, CA"
1795,URGENT ON 2/26,http://post.rescueme.org/20-02-20-00331,Petit Basset Griffon Vendeen,"Riverside County, Moreno Valley, CA"
1796,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00329,Chihuahua,"Riverside County, Moreno Valley, CA"
1797,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00328,Silky Terrier,"Riverside County, Moreno Valley, CA"
1798,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00327,Chihuahua,"Riverside County, Moreno Valley, CA"
1799,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00326,American Bulldog,"Riverside County, Moreno Valley, CA"
1800,Bella,http://post.rescueme.org/20-02-20-00284,Pit Bull,"Riverside County, Downey , CA"
1801,Theo,http://post.rescueme.org/20-02-20-00261,Chihuahua,"Riverside County, Downey , CA"
1802,Fredo,http://post.rescueme.org/20-02-20-00240,German Shepherd,"Ventura County, Moorpark, CA"
1803,Mia,http://post.rescueme.org/20-02-20-00238,Belgian Malinois,"Riverside County, Downey , CA"
1804,Zuzu,http://post.rescueme.org/20-02-20-00235,German Shepherd,"Ventura County, Moorpark, CA"
1807,Mojo,http://post.rescueme.org/20-02-20-00213,Miniature Pinscher,"Riverside County, Downey , CA"
1808,URGENT - SAMMY,http://post.rescueme.org/20-02-20-00201,Chihuahua,"Los Angeles County, Baldwin Park, CA"
1809,Jerry,http://post.rescueme.org/20-02-20-00190,German Shepherd,"Riverside County, Downey , CA"
1810,Milo,http://post.rescueme.org/20-02-20-00149,Pomeranian,"San Bernardino County, Victorville, CA"
1811,River,http://post.rescueme.org/20-02-20-00138,Lab,"Riverside County, Temecula, CA"
1812,Garth,http://post.rescueme.org/20-02-20-00130,Lab,"Riverside County, Temecula, CA"
1813,Jackson,http://post.rescueme.org/20-02-20-00122,Lab,"Riverside County, Temecula, CA"
1814,Logan,http://post.rescueme.org/20-02-20-00098,German Shepherd,"Riverside County, Downey , CA"
1815,Reggie,http://post.rescueme.org/20-02-20-00086,German Shepherd,"Riverside County, Downey , CA"
1816,Buddy,http://post.rescueme.org/20-02-20-00021,Chihuahua,"Contra Costa County, Brentwood, CA"
1817,Norbit,http://post.rescueme.org/20-02-19-00612,Lab,"San Bernardino County, Montclair, CA"
1818,Cruise,http://post.rescueme.org/20-02-19-00605,Lab,"San Bernardino County, Montclair, CA"
1819,Charlie,http://post.rescueme.org/20-02-19-00597,Bichon Frise,"El Dorado County, Cameron Park, CA"
1820,Minnie Mouse,http://post.rescueme.org/20-02-19-00594,Lab,"San Bernardino County, Montclair, CA"
1821,Razzle Dazzle,http://post.rescueme.org/20-02-19-00591,Lab,"San Bernardino County, Montclair, CA"
1822,Dose Doe,http://post.rescueme.org/20-02-19-00586,Lab,"San Bernardino County, Montclair, CA"
1823,Eleven,http://post.rescueme.org/20-02-19-00576,Lab,"San Bernardino County, Montclair, CA"
1824,URGENT AFTER 2/25,http://post.rescueme.org/20-02-19-00554,Pit Bull,"Riverside County, Moreno Valley, CA"
1825,URGENT AFTER 2/25,http://post.rescueme.org/20-02-19-00553,Jack Russell,"Riverside County, Moreno Valley, CA"
1826,URGENT AFTER 2/25,http://post.rescueme.org/20-02-19-00552,Chihuahua,"Riverside County, Moreno Valley, CA"
1827,URGENT AFTER 2/25,http://post.rescueme.org/20-02-19-00551,Pit Bull,"Riverside County, Moreno Valley, CA"
1828,URGENT - BETTY,http://post.rescueme.org/20-02-19-00544,Bullmastiff,"Los Angeles County, Baldwin Park, CA"
1829,URGENT - BELLA,http://post.rescueme.org/20-02-19-00543,Pit Bull,"Los Angeles County, Baldwin Park, CA"
1830,URGENT - MAY,http://post.rescueme.org/20-02-19-00506,Australian Cattle Dog,"Los Angeles County, Baldwin Park, CA"
1831,Yugi,http://post.rescueme.org/20-02-19-00504,Chihuahua,"Sacramento County, RNCHO CORDOVA, CA"
1832,URGENT - THIMES,http://post.rescueme.org/20-02-19-00501,Lab,"Los Angeles County, Baldwin Park, CA"
1833,Imposter bear,http://post.rescueme.org/20-02-19-00493,Chihuahua,"Sacramento County, RNCHO CORDOVA, CA"
1834,URGENT - CHANCE,http://post.rescueme.org/20-02-19-00479,Lab,"Los Angeles County, Baldwin Park, CA"
1835,Scruffy,http://post.rescueme.org/20-02-19-00478,Chihuahua,"Los Angeles County, Chatsworth, CA"
1836,URGENT - MAX,http://post.rescueme.org/20-02-19-00470,Australian Cattle Dog,"Pasadena, CA"
1837,URGENT - SADIE,http://post.rescueme.org/20-02-19-00449,Corgi,"Los Angeles County, Baldwin Park, CA"
1838,COOKIE,http://post.rescueme.org/20-02-19-00438,Shar-Pei,"Chino Hills, CA"
1839,Tex,http://post.rescueme.org/20-02-19-00420,Corgi,"Riverside County, Hemet, CA"
1840,Nico,http://post.rescueme.org/20-02-19-00400,Siberian Husky,"Sonoma County, Santa Rosa, CA"
1841,Dottie,http://post.rescueme.org/20-02-19-00391,Yorkie,"Los Angeles County, Van Nuys, CA"
1842,Mitchell,http://post.rescueme.org/20-02-19-00384,Beagle,"Orange County, Orange, CA"
1844,Mimi,http://post.rescueme.org/20-02-19-00333,Chihuahua,"San Diego County, la mesa, CA"
1845,URGENT DANBAR,http://post.rescueme.org/20-02-19-00313,Lab,"Los Angeles County, Baldwin Park, CA"
1846,Smokey,http://post.rescueme.org/20-02-19-00295,Pit Bull,"Shasta County, Redding, CA"
1847,Hurley,http://post.rescueme.org/20-02-19-00287,Australian Cattle Dog,"Placer County, Roseville, CA"
1848,Coco,http://post.rescueme.org/20-02-19-00282,Poodle,"Los Angeles County, Sherman Oaks, CA"
1849,Wally,http://post.rescueme.org/20-02-19-00258,Lab,"Orange County, Orange, CA"
1850,BRUNO,http://post.rescueme.org/20-02-19-00196,Bulldog,"San Diego County, la mesa, CA"
1851,URGENT - BLACKIE,http://post.rescueme.org/20-02-19-00150,Dachshund,"Los Angeles County, Baldwin Park, CA"
1852,DOGGIE,http://post.rescueme.org/20-02-19-00138,Chihuahua,CA
1853,Blue,http://post.rescueme.org/20-02-19-00129,Catahoula,"Madera County, Coarsegold, CA"
1854,HACHI,http://post.rescueme.org/20-02-19-00125,Chihuahua,CA
1855,KODA,http://post.rescueme.org/20-02-19-00118,Norfolk Terrier,CA
1856,Kupi,http://post.rescueme.org/20-02-19-00016,Chihuahua,"Los Angeles County, Chatsworth, CA"
1857,Savannah,http://post.rescueme.org/20-02-19-00004,Belgian Malinois,"Santa Barbara County, Santa Barabara, CA"
1858,Rocky,http://post.rescueme.org/20-02-18-00522,Rottweiler,"Van Nuys, CA"
1859,Champ,http://post.rescueme.org/20-02-18-00520,Pit Bull,"Monterey County, Seaside, CA"
1860,Bella PUPPY,http://post.rescueme.org/20-02-18-00506,American Staffordshire Terrier,"Los Angeles County, Van Nuys, CA"
1861,Scrappy SEE Video,http://post.rescueme.org/20-02-18-00503,Australian Cattle Dog,"Los Angeles County, Van Nuys, CA"
1862,MAX,http://post.rescueme.org/20-02-18-00501,American Staffordshire Terrier,"Los Angeles County, Van Nuys, CA"
1863,"Groot,Milo Adopt Toget",http://post.rescueme.org/20-02-18-00482,Dutch Shepherd,"Los Angeles County, Van Nuys, CA"
1864,Zander,http://post.rescueme.org/20-02-18-00467,American Staffordshire Terrier,"Orange County, San Juan Capistrano, CA"
1865,Bravo,http://post.rescueme.org/20-02-18-00465,Chihuahua,"Los Angeles County, Chatsworth, CA"
1866,Autumn,http://post.rescueme.org/20-02-18-00454,German Shepherd,"Los Angeles County, Sierra Madre, CA"
1867,Milo,http://post.rescueme.org/20-02-18-00442,Jack Russell,"Los Angeles County, Sierra Madre, CA"
1868,Captain,http://post.rescueme.org/20-02-18-00435,Siberian Husky,"Los Angeles County, Sierra Madre, CA"
1869,Toby,http://post.rescueme.org/20-02-18-00420,Corgi,"Orange County, Orange, CA"
1870,Angel,http://post.rescueme.org/20-02-18-00408,German Shepherd,"Los Angeles County, los Angeles, CA"
1871,Chocomax,http://post.rescueme.org/20-02-18-00380,Lab,"Los Angeles County, los Angeles, CA"
1872,Macie,http://post.rescueme.org/20-02-18-00371,Yorkie,"San Diego County, San Diego, CA"
1873,Max,http://post.rescueme.org/20-02-18-00360,German Shepherd,"Los Angeles County, los Angeles, CA"
1874,Brianna,http://post.rescueme.org/20-02-18-00326,Chihuahua,"Orange County, Orange, CA"
1875,Oliver,http://post.rescueme.org/20-02-18-00309,Pit Bull,"Los Angeles County, Covina, CA"
1876,Leta,http://post.rescueme.org/20-02-18-00306,German Shepherd,"Riverside County, Downey , CA"
1877,Charley,http://post.rescueme.org/20-02-18-00302,Yorkie,"Orange County, Irvine, CA"
1878,URGENT AFTER 2/25,http://post.rescueme.org/20-02-18-00254,American Bulldog,"Riverside County, Moreno Valley, CA"
1879,LUCKY-URGENT 3/3,http://post.rescueme.org/20-02-18-00253,Rottweiler,"Riverside County, Moreno Valley, CA"
1880,Grover,http://post.rescueme.org/20-02-18-00238,American Staffordshire Terrier,"Los Angeles County, Van Nuys, CA"
1881,Naomi,http://post.rescueme.org/20-02-18-00231,White Shepherd,"Sacramento County, Sacramento, CA"
1882,Puppy,http://post.rescueme.org/20-02-18-00198,Pit Bull,"Los Angeles County, Altadena, CA"
1883,Alice,http://post.rescueme.org/20-02-18-00138,Yorkie,"Riverside County, Lakeview, CA"
1884,Oreo,http://post.rescueme.org/20-02-18-00020,Cocker Spaniel,"Los Angeles County, Woodlands Hills/Riverside, CA"
1885,Cali,http://post.rescueme.org/20-02-18-00018,Beagle,"Los Angeles County, Woodlands Hills/Riverside, CA"
1886,Copper,http://post.rescueme.org/20-02-18-00017,Pit Bull,"Riverside County, Perris, CA"
1888,Walker,http://post.rescueme.org/20-02-18-00014,Siberian Husky,"Kings County, HANFORD, CA"
1889,Sheba,http://post.rescueme.org/20-02-18-00005,Mastiff,"Los Angeles County, Whittier, CA"
1890,Max,http://post.rescueme.org/20-02-17-00540,German Shepherd,"Riverside County, Cherry Valley, CA"
1891,Buddy,http://post.rescueme.org/20-02-17-00534,Pit Bull,"Los Angeles County, Los Angeles, CA"
1892,mack,http://post.rescueme.org/20-02-17-00533,Pit Bull,"Alameda County, newark, CA"
1893,Ned Pepper,http://post.rescueme.org/20-02-17-00532,Boxer,"San Bernardino County, San Bernardino, CA"
1894,Sweet tea,http://post.rescueme.org/20-02-17-00531,Yorkie,"San Bernardino County, San Bernardino, CA"
1895,Tank,http://post.rescueme.org/20-02-17-00527,Pit Bull,"Alameda County, newark, CA"
1896,Honey biscuit,http://post.rescueme.org/20-02-17-00505,Yorkie,"San Bernardino County, San Bernardino, CA"
1897,Roger,http://post.rescueme.org/20-02-17-00504,Pit Bull,"Los Angeles County, Los Angeles, CA"
1898,Velvet / Violet,http://post.rescueme.org/20-02-17-00503,Maltese,"Los Angeles County, Pico rivera, CA"
1899,Whiskey a go go,http://post.rescueme.org/20-02-17-00502,Dachshund,"San Bernardino County, San Bernardino, CA"
1900,Storm,http://post.rescueme.org/20-02-17-00492,German Shepherd,"Riverside County, Corona, CA"
1901,Fox,http://post.rescueme.org/20-02-17-00481,Lab,"Riverside County, Perris, CA"
1902,Doe,http://post.rescueme.org/20-02-17-00480,Lab,"Riverside County, Perris, CA"
1903,Badger,http://post.rescueme.org/20-02-17-00479,Lab,"Riverside County, Perris, CA"
1904,Taz,http://post.rescueme.org/20-02-17-00476,Lab,"Riverside County, Perris, CA"
1905,Hawk,http://post.rescueme.org/20-02-17-00473,Lab,"Riverside County, Perris, CA"
1906,Coon,http://post.rescueme.org/20-02-17-00472,Lab,"Riverside County, Perris, CA"
1907,Bear,http://post.rescueme.org/20-02-17-00469,Lab,"Riverside County, Perris, CA"
1908,URGENT AFTER 2/25,http://post.rescueme.org/20-02-17-00448,Pit Bull,"Riverside County, Moreno Valley, CA"
1909,Sonny 4 lbs,http://post.rescueme.org/20-02-17-00399,Chihuahua,"Los Angeles County, los angeles, CA"
1910,Henri,http://post.rescueme.org/20-02-17-00385,American Bulldog,"Orange County, CA"
1911,Bella,http://post.rescueme.org/20-02-17-00382,Pit Bull,"Los Angeles County, Los Angeles, CA"
1912,Buck,http://post.rescueme.org/20-02-17-00381,Mastiff,"Los Angeles County, Los Angeles, CA"
1913,Cowboy,http://post.rescueme.org/20-02-17-00379,Shar-Pei,"Los Angeles County, Los Angeles, CA"
1914,Shadow,http://post.rescueme.org/20-02-17-00374,Siberian Husky,"Los Angeles County, Los Angeles, CA"
1915,Max,http://post.rescueme.org/20-02-17-00373,German Shepherd,"Riverside County, Hemet, CA"
1916,Copper,http://post.rescueme.org/20-02-17-00368,Pit Bull,"Riverside County, Perris, CA"
1917,George,http://post.rescueme.org/20-02-17-00356,German Shepherd,"Los Angeles County, Los Angeles, CA"
1918,Kuhio,http://post.rescueme.org/20-02-17-00344,Shih Tzu,"El Dorado County, El Dorado Hills, CA"
1919,Tank,http://post.rescueme.org/20-02-17-00316,Rhodesian Ridgeback,"San Bernardino County, Hesperia, CA"
1920,Princess,http://post.rescueme.org/20-02-17-00305,Pit Bull,"Los Angeles County, Long beach, CA"
1921,Klaus,http://post.rescueme.org/20-02-17-00293,Siberian Husky,"Tulare County, Tulare, CA"
1922,Bruno,http://post.rescueme.org/20-02-17-00276,Pit Bull,"Riverside County, Downey , CA"
1923,Princ Harry,http://post.rescueme.org/20-02-17-00275,Australian Cattle Dog,"Contra Costa County, Walnut Creek, CA"
1924,Pippa,http://post.rescueme.org/20-02-17-00259,Chihuahua,"San Joaquin County, Tracy, CA"
1925,Spencer,http://post.rescueme.org/20-02-17-00171,Belgian Malinois,"Santa Clara County, San Jose, CA"
1926,Frankie,http://post.rescueme.org/20-02-17-00162,American Bulldog,"Riverside County, Lake Elsinore, CA"
1927,Milo,http://post.rescueme.org/20-02-17-00156,Chihuahua,"San Bernardino County, Victorville, CA"
1928,Pancho,http://post.rescueme.org/20-02-17-00110,Boxer,"Riverside County, Downey , CA"
1929,Roxy,http://post.rescueme.org/20-02-17-00076,Mastiff,"Palmdale, CA"
1930,Ally,http://post.rescueme.org/20-02-17-00039,Silky Terrier,"San Diego County, Carlsbad, CA"
1931,MADDIE,http://post.rescueme.org/20-02-17-00037,Australian Cattle Dog,"Sonoma County, Santa Rosa, CA"
1932,COOPER,http://post.rescueme.org/20-02-17-00036,Australian Cattle Dog,"Sonoma County, Santa Rosa, CA"
1933,Arturo,http://post.rescueme.org/20-02-17-00027,Chihuahua,"Los Angeles County, Chatsworth, CA"
1934,Poldi,http://post.rescueme.org/20-02-16-00433,Chihuahua,"San Joaquin County, Tracy, CA"
1935,Smalls,http://post.rescueme.org/20-02-16-00428,Rottweiler,"Mendocino County, Willits, CA"
1936,Mia,http://post.rescueme.org/20-02-16-00412,Chihuahua,"Los Angeles County, Santa Clarita, CA"
1937,Zeus,http://post.rescueme.org/20-02-16-00342,German Shepherd,"Riverside County, Downey , CA"
1938,URGENT AFTER 2/22,http://post.rescueme.org/20-02-16-00338,Lab,"Riverside County, Moreno Valley, CA"
1939,Captain & Clifford,http://post.rescueme.org/20-02-16-00337,Chihuahua,"Riverside County, Downey , CA"
1940,Henry is a shy Doxie,http://post.rescueme.org/20-02-16-00329,Dachshund,"Los Angeles County, Los Angeles, CA"
1941,Rocky,http://post.rescueme.org/20-02-16-00321,German Shepherd,"Ventura County, Moorpark, CA"
1942,Benji,http://post.rescueme.org/20-02-16-00302,Basenji,"Los Angeles County, Los Angeles, CA"
1943,Phoebe,http://post.rescueme.org/20-02-16-00285,Cocker Spaniel,"Orange County, Mission Viejo, CA"
1944,Vladimir,http://post.rescueme.org/20-02-16-00263,Siberian Husky,"San Joaquin County, Tracy, CA"
1945,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00249,Pit Bull,"Riverside County, Moreno Valley, CA"
1946,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00248,Cocker Spaniel,"Riverside County, Moreno Valley, CA"
1947,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00246,Chihuahua,"Riverside County, Moreno Valley, CA"
1948,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00245,Chihuahua,"Riverside County, Moreno Valley, CA"
1949,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00244,Akita,"Riverside County, Moreno Valley, CA"
1950,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00243,Lab,"Riverside County, Moreno Valley, CA"
1951,Sasha,http://post.rescueme.org/20-02-16-00237,Chihuahua,"Riverside County, Downey , CA"
1952,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00232,Cavalier,"Riverside County, Moreno Valley, CA"
1953,URGENT AFTER 2/21,http://post.rescueme.org/20-02-16-00231,Chihuahua,"Riverside County, Moreno Valley, CA"
1954,Chance,http://post.rescueme.org/20-02-16-00230,American Bulldog,"Riverside County, Downey , CA"
1955,URGENT AFTER 2/22,http://post.rescueme.org/20-02-16-00229,Jack Russell,"Riverside County, Moreno Valley, CA"
1956,URGENT AFTER 2/26,http://post.rescueme.org/20-02-16-00228,Australian Cattle Dog,"Riverside County, Moreno Valley, CA"
1957,Georgie,http://post.rescueme.org/20-02-16-00227,Pit Bull,"Riverside County, Downey , CA"
1958,Nala,http://post.rescueme.org/20-02-16-00221,Pit Bull,"Riverside County, Downey , CA"
1959,URGENT AFTER 2/20,http://post.rescueme.org/20-02-16-00219,Chihuahua,"Riverside County, Moreno Valley, CA"
1960,Olivia,http://post.rescueme.org/20-02-16-00218,Lab,"Riverside County, Downey , CA"
1961,Lilikoi,http://post.rescueme.org/20-02-16-00210,Poodle,"Los Angeles County, South Gate, CA"
1962,Rocky,http://post.rescueme.org/20-02-16-00188,Chihuahua,"Riverside County, Downey , CA"
1963,Minnie,http://post.rescueme.org/20-02-16-00187,Chihuahua,"Los Angeles County, South Gate, CA"
1964,Codey and Luna,http://post.rescueme.org/20-02-16-00177,Siberian Husky,"Alameda County, San Leandro, CA"
1965,Zully,http://post.rescueme.org/20-02-16-00110,Bull Terrier,"Los Angeles County, Van Nuys, CA"
1966,Skye,http://post.rescueme.org/20-02-16-00087,Siberian Husky,"Merced County, Gustine, CA"
1967,Jack,http://post.rescueme.org/20-02-16-00070,Chihuahua,"Los Angeles County, Pico rivera, CA"
1968,URGENT - HEATH,http://post.rescueme.org/20-02-16-00023,Boxer,"Los Angeles County, Baldwin Park, CA"
1969,URGENT - LUNA,http://post.rescueme.org/20-02-16-00022,German Shepherd,"Los Angeles County, Baldwin Park, CA"
1970,URGENT - RAT TERRIER,http://post.rescueme.org/20-02-16-00020,Rat Terrier,"Pasadena, CA"
1971,Mickey,http://post.rescueme.org/20-02-16-00015,Cavalier,"Los Angeles County, Los Angeles, CA"
1972,URGENT - SANDY,http://post.rescueme.org/20-02-16-00014,Chow Chow,"Pasadena, CA"
1973,Twinkie,http://post.rescueme.org/20-02-16-00013,Pomeranian,"Orange County, Yorba Linda, CA"
1974,URGENT - SPIKE,http://post.rescueme.org/20-02-16-00011,Chihuahua,"Los Angeles County, Baldwin Park, CA"
1975,Oakley,http://post.rescueme.org/20-02-16-00010,Chihuahua,"Orange County, Yorba Linda, CA"
1976,URGENT - ROCKY,http://post.rescueme.org/20-02-16-00009,Lab,"Los Angeles County, Baldwin Park, CA"
1977,Pepper,http://post.rescueme.org/20-02-16-00005,German Shepherd,"Orange County, Yorba Linda, CA"
1978,Smokey,http://post.rescueme.org/20-02-15-00296,Pit Bull,"San Joaquin County, Stockton, CA"
1979,Dillon,http://post.rescueme.org/20-02-15-00228,Yorkie,"Los Angeles County, Diamond Bar, CA"
1980,Chloe,http://post.rescueme.org/20-02-15-00223,Pit Bull,"San Joaquin County, Manteca, CA"
1981,Hooey,http://post.rescueme.org/20-02-15-00212,Australian Cattle Dog,"Orange County, Yorba Linda, CA"
1982,Wrangler,http://post.rescueme.org/20-02-15-00211,Australian Cattle Dog,"Orange County, Yorba Linda, CA"
1983,Ryder,http://post.rescueme.org/20-02-15-00207,Australian Cattle Dog,"Orange County, Yorba Linda, CA"
1984,Hazel,http://post.rescueme.org/20-02-15-00185,Boxer,"Riverside County, Downey , CA"
1985,Dooby,http://post.rescueme.org/20-02-15-00182,Pomeranian,"Ventura County, Thousand Oaks, CA"
1986,Shyloh,http://post.rescueme.org/20-02-15-00122,Shih Tzu,"Los Angeles County, Van Nuys, CA"
1988,Ollie,http://post.rescueme.org/20-02-15-00018,Chihuahua,"San Bernardino County, Loma linda, CA"
1989,Grayson,http://post.rescueme.org/20-02-15-00016,Yorkie,"San Bernardino County, Loma linda, CA"
1990,Tonka,http://post.rescueme.org/20-02-15-00008,Pit Bull,"Shasta County, CA"
1992,Feagan,http://post.rescueme.org/20-02-14-00464,American Staffordshire Terrier,"Los Angeles County, Santa Clarita, CA"
1993,Sariya,http://post.rescueme.org/20-02-14-00423,Chihuahua,"San Bernardino County, Montclair, CA"
1994,Sunny,http://post.rescueme.org/20-02-14-00416,German Shepherd,"Riverside County, Anza, CA"
1995,Rambo,http://post.rescueme.org/20-02-14-00414,Chihuahua,"San Bernardino County, Montclair, CA"
1996,Hera,http://post.rescueme.org/20-02-14-00413,American Bulldog,"San Joaquin County, Tracy, CA"
1997,Love Bug,http://post.rescueme.org/20-02-14-00396,Shih Tzu,"San Diego County, Spring Valley, CA"
1998,Lilith,http://post.rescueme.org/20-02-14-00356,Pit Bull,"San Mateo County, Redwood City, CA"
1999,Rocky,http://post.rescueme.org/20-02-14-00337,American Staffordshire Terrier,"Orange County, Westminster, CA"
2000,Brjtta,http://post.rescueme.org/20-02-22-00005,German Shepherd,"Los Angeles County, Downey, CA"
2001,Wilson,http://post.rescueme.org/20-02-22-00004,Collie,"Los Angeles County, Downey, CA"
2002,CARDO,http://post.rescueme.org/20-02-21-00473,Shiba Inu,"Los Angeles County, Van Nuys, CA"
2003,Buffy,http://post.rescueme.org/20-02-21-00464,Maltese,CA
2004,Beverly,http://post.rescueme.org/20-02-21-00451,Pit Bull,"Riverside County, Downey , CA"
2005,Nana,http://post.rescueme.org/20-02-21-00420,Chihuahua,"Los Angeles County, Van Nuys, CA"
2006,Dan,http://post.rescueme.org/20-02-21-00413,Lhasa Apso,"Los Angeles County, Van Nuys, CA"
2007,Jellybean,http://post.rescueme.org/20-02-21-00380,Dachshund,"Los Angeles County, Woodland Hills, CA"
2008,Rocky,http://post.rescueme.org/20-02-21-00370,Pit Bull,"Stanislaus County, Oakdale, CA"
2009,Kobe,http://post.rescueme.org/20-02-21-00369,American Bulldog,"Los Angeles County, Woodland Hills, CA"
2010,Puchi,http://post.rescueme.org/20-02-21-00364,Chihuahua,"Orange County, Menifee, CA"
2011,Rosie,http://post.rescueme.org/20-02-21-00321,German Shepherd,"Sonoma County, Santa Rosa, CA"
2012,Elizabeth,http://post.rescueme.org/20-02-21-00316,German Shepherd,"Riverside County, Downey , CA"
2013,Gus,http://post.rescueme.org/20-02-21-00308,Pit Bull,"Humboldt County, Arcata, CA"
2014,Duncan,http://post.rescueme.org/20-02-21-00302,Chihuahua,"Sutter County, Yuba City, CA"
2015,Dot,http://post.rescueme.org/20-02-21-00296,Catahoula,"San Luis Obispo County, Atascadero, CA"
2016,Layla,http://post.rescueme.org/20-02-21-00295,Lab,CA
2018,Skye,http://post.rescueme.org/20-02-21-00285,German Shepherd,"San Bernardino County, High Desert/Rancho Cucamonga, CA"
2019,Enzo,http://post.rescueme.org/20-02-21-00282,German Shepherd,"San Bernardino County, High Desert/Rancho Cucamonga, CA"
2020,Jake,http://post.rescueme.org/20-02-21-00274,American Bulldog,"Stanislaus County, Oakdale, CA"
2021,Jake,http://post.rescueme.org/20-02-21-00271,American Bulldog,"Stanislaus County, Oakdale, CA"
2022,Bryce/Raymond,http://post.rescueme.org/20-02-21-00257,German Shepherd,"Riverside County, Downey , CA"
2023,Titus,http://post.rescueme.org/20-02-21-00251,Boxer,"Riverside County, Downey , CA"
2024,POGO,http://post.rescueme.org/20-02-21-00238,Chow Chow,"San Bernardino County, San Bernardino, CA"
2025,Matilda,http://post.rescueme.org/20-02-21-00225,Pit Bull,CA
2026,DIESEL OLIVAS,http://post.rescueme.org/20-02-21-00222,Pit Bull,"Los Angeles County, whittier, CA"
2027,Bella,http://post.rescueme.org/20-02-21-00195,Pit Bull,"Los Angeles County, Woodland Hills, CA"
2028,Daisy,http://post.rescueme.org/20-02-20-00546,Black Mouth Cur,"Los Angeles County, Pasadena, CA"
2029,Duncan,http://post.rescueme.org/20-02-20-00506,Poodle,"Los Angeles County, Chatsworth, CA"
2030,Stella,http://post.rescueme.org/20-02-20-00504,Foxhound,"Sacramento County, Sacramento, CA"
2031,MIKEY,http://post.rescueme.org/20-02-20-00490,Shih Tzu,"Los Angeles County, Los Angeles, CA"
2032,MIA,http://post.rescueme.org/20-02-20-00487,Poodle,"Los Angeles County, Los Angeles, CA"
2033,Charlie,http://post.rescueme.org/20-02-20-00457,Treeing Walker Coonhound,"Kern County, CA"
2034,Smokey,http://post.rescueme.org/20-02-20-00446,Pit Bull,"Shasta County, REdding, CA"
2035,Sable,http://post.rescueme.org/20-02-20-00434,Tibetan Mastiff,"Santa Clara County, San Jose, CA"
2036,URGENT!!! BLACKY,http://post.rescueme.org/20-02-20-00431,German Shepherd,"Riverside County, Norco, CA"
2037,URGENT!!! GINGER,http://post.rescueme.org/20-02-20-00426,Lab,"Riverside County, Norco, CA"
2038,Noki,http://post.rescueme.org/20-02-20-00396,German Shepherd,"Riverside County, Downey , CA"
2039,Barney,http://post.rescueme.org/20-02-20-00386,Great Pyrenees,"Orange County, Orange, CA"
2040,Dino,http://post.rescueme.org/20-02-20-00383,Great Pyrenees,"Orange County, Orange, CA"
2041,BamBam,http://post.rescueme.org/20-02-20-00377,Lab,"Orange County, Orange, CA"
2042,Precious,http://post.rescueme.org/20-02-20-00365,Pit Bull,"Riverside County, Downey , CA"
2043,Nino,http://post.rescueme.org/20-02-20-00360,Pit Bull,"Riverside County, Downey , CA"
2044,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00333,Lab,"Riverside County, Moreno Valley, CA"
2045,URGENT ON 2/26,http://post.rescueme.org/20-02-20-00331,Petit Basset Griffon Vendeen,"Riverside County, Moreno Valley, CA"
2046,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00329,Chihuahua,"Riverside County, Moreno Valley, CA"
2047,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00328,Silky Terrier,"Riverside County, Moreno Valley, CA"
2048,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00327,Chihuahua,"Riverside County, Moreno Valley, CA"
2049,URGENT AFTER 2/26,http://post.rescueme.org/20-02-20-00326,American Bulldog,"Riverside County, Moreno Valley, CA"
2050,Bella,http://post.rescueme.org/20-02-20-00284,Pit Bull,"Riverside County, Downey , CA"
2051,Theo,http://post.rescueme.org/20-02-20-00261,Chihuahua,"Riverside County, Downey , CA"
2052,Fredo,http://post.rescueme.org/20-02-20-00240,German Shepherd,"Ventura County, Moorpark, CA"
2053,Mia,http://post.rescueme.org/20-02-20-00238,Belgian Malinois,"Riverside County, Downey , CA"
2054,Zuzu,http://post.rescueme.org/20-02-20-00235,German Shepherd,"Ventura County, Moorpark, CA"
2057,Mojo,http://post.rescueme.org/20-02-20-00213,Miniature Pinscher,"Riverside County, Downey , CA"
2058,URGENT - SAMMY,http://post.rescueme.org/20-02-20-00201,Chihuahua,"Los Angeles County, Baldwin Park, CA"
